,city,year,weekofyear,week_start_date,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,station_avg_temp_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
0,sj,1990,18,1990-04-30,0.17761670000000002,12.42,297.57285714299996,297.742857143,292.414285714,295.9,32.0,73.3657142857,12.42,14.0128571429,25.4428571429,29.4,20.0,16.0,4
1,sj,1990,19,1990-05-07,0.15548570000000003,22.82,298.211428571,298.44285714299997,293.951428571,296.4,17.94,77.36857142859999,22.82,15.3728571429,26.714285714299997,31.7,22.2,8.6,5
2,sj,1990,20,1990-05-14,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,297.3,26.1,82.0528571429,34.54,16.8485714286,26.714285714299997,32.2,22.8,41.4,4
3,sj,1990,21,1990-05-21,0.2358857,15.36,298.987142857,299.228571429,295.31,297.0,13.9,80.3371428571,15.36,16.6728571429,27.471428571399997,33.3,23.3,4.0,3
4,sj,1990,22,1990-05-28,0.24734,7.52,299.518571429,299.664285714,295.821428571,297.5,12.2,80.46,7.52,17.21,28.9428571429,35.0,23.9,5.8,6
5,sj,1990,23,1990-06-04,0.18174289999999999,9.58,299.63,299.76428571400004,295.851428571,298.1,26.49,79.8914285714,9.58,17.2128571429,28.1142857143,34.4,23.9,39.1,2
6,sj,1990,24,1990-06-11,0.2102714,3.48,299.207142857,299.221428571,295.86571428599996,297.7,38.6,82.0,3.48,17.2342857143,27.4142857143,32.2,23.3,29.7,4
7,sj,1990,25,1990-06-18,0.1330286,151.12,299.591428571,299.528571429,296.531428571,298.4,30.0,83.3757142857,151.12,17.9771428571,28.3714285714,33.9,22.8,21.1,5
8,sj,1990,26,1990-06-25,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,297.7,37.51,82.7685714286,19.32,17.79,28.3285714286,33.9,22.8,21.1,10
9,sj,1990,27,1990-07-02,0.20256670000000002,14.41,300.154285714,300.278571429,296.651428571,298.7,28.4,81.2814285714,14.41,18.071428571400002,28.3285714286,33.9,24.4,1.1,6
10,sj,1990,28,1990-07-09,0.1529286,22.27,299.512857143,299.592857143,296.041428571,298.0,43.72,81.4671428571,22.27,17.4185714286,27.5571428571,31.7,21.7,63.7,8
11,sj,1990,29,1990-07-16,0.2806667,59.17,299.667142857,299.75,296.33428571400003,297.3,40.9,82.1442857143,59.17,17.7371428571,28.1285714286,32.8,23.9,12.2,2
12,sj,1990,30,1990-07-23,0.2145571,16.48,299.55857142900004,299.635714286,295.96,297.1,42.53,80.7428571429,16.48,17.3414285714,28.1142857143,31.7,22.8,32.6,6
13,sj,1990,31,1990-07-30,0.3813571,32.66,299.862857143,299.95,296.172857143,298.3,34.6,80.58428571430001,32.66,17.5942857143,28.2428571429,34.4,22.8,37.6,17
14,sj,1990,32,1990-08-06,0.1388571,28.8,300.391428571,300.478571429,296.532857143,298.8,20.0,79.65,28.8,17.95,28.2,33.3,23.3,11.4,23
15,sj,1990,33,1990-08-13,0.16824289999999997,90.75,299.958571429,299.957142857,297.035714286,298.5,101.9,84.1785714286,90.75,18.5157142857,28.0428571429,32.8,22.8,44.7,13
16,sj,1990,34,1990-08-20,0.1722857,32.4,300.332857143,300.414285714,296.728571429,298.1,25.9,80.9471428571,32.4,18.1742857143,28.342857142899998,33.3,23.3,5.4,21
17,sj,1990,35,1990-08-27,0.2843143,40.94,300.11857142900004,300.221428571,297.017142857,298.7,39.8,83.3485714286,40.94,18.5157142857,28.657142857100002,32.2,24.4,13.7,28
18,sj,1990,36,1990-09-03,0.2304429,28.86,300.53,300.635714286,296.11714285700003,298.0,30.4,77.1728571429,28.86,17.56,28.3285714286,32.8,23.3,14.2,24
19,sj,1990,37,1990-09-10,0.14828329999999998,64.56,300.674285714,300.792857143,297.19285714299997,299.0,24.18,81.55142857140001,64.56,18.7771428571,28.6857142857,33.9,24.4,25.9,20
20,sj,1990,38,1990-09-17,0.3056857,143.73,299.857142857,299.9,296.43142857099997,298.7,36.6,81.6371428571,143.73,17.8928571429,28.2428571429,32.8,23.9,3.3,40
21,sj,1990,39,1990-09-24,0.24421669999999998,51.39,300.42714285700004,300.6,296.028571429,299.1,16.4,77.0485714286,51.39,17.4685714286,28.342857142899998,32.8,24.4,15.8,27
22,sj,1990,40,1990-10-01,0.20118570000000002,31.18,300.775714286,300.85,296.664285714,299.1,36.1,78.52,31.18,18.18,28.771428571399998,33.3,23.9,11.7,42
23,sj,1990,41,1990-10-08,0.15771670000000002,51.42,299.857142857,299.94285714299997,296.928571429,298.1,132.4,84.11,51.42,18.5128571429,28.6285714286,33.3,24.4,57.7,33
24,sj,1990,42,1990-10-15,0.16575,143.55,299.195714286,299.30714285700003,296.544285714,297.5,279.6,85.6214285714,143.55,18.1157142857,27.6285714286,32.8,23.3,61.8,43
25,sj,1990,43,1990-10-22,0.1239286,127.03,298.902857143,299.042857143,296.257142857,297.2,94.52,85.5028571429,127.03,17.75,26.771428571399998,32.2,21.7,91.5,37
26,sj,1990,44,1990-10-29,0.2959,101.35,299.727142857,299.778571429,296.534285714,298.5,22.26,82.7871428571,101.35,18.0342857143,27.971428571399997,33.3,22.8,6.3,57
27,sj,1990,45,1990-11-05,0.1866286,20.46,299.972857143,300.035714286,296.564285714,298.5,14.4,81.7157142857,20.46,18.0742857143,28.471428571399997,33.3,23.9,6.6,71
28,sj,1990,46,1990-11-12,0.2348857,20.0,300.35,300.5,295.687142857,298.8,7.1,75.72857142859999,20.0,17.0857142857,27.5428571429,32.8,22.2,38.9,44
29,sj,1990,47,1990-11-19,0.1253833,20.04,299.511428571,299.635714286,295.375714286,297.0,36.7,78.1514285714,20.04,16.752857142899998,26.8,31.7,22.2,9.6,56
30,sj,1990,48,1990-11-26,0.1415857,33.61,298.238571429,298.26428571400004,294.81142857099996,296.5,44.3,81.38571428569999,33.61,16.2085714286,26.2,31.1,20.6,26.7,53
31,sj,1990,49,1990-12-03,0.2517,9.96,298.542857143,298.685714286,294.782857143,296.7,71.8,79.9085714286,9.96,16.161428571400002,25.985714285700002,29.4,22.2,69.0,52
32,sj,1990,50,1990-12-10,0.2099857,0.0,298.202857143,298.278571429,292.004285714,296.1,4.1,68.7228571429,0.0,13.6157142857,24.6857142857,29.4,19.4,2.8,47
33,sj,1990,51,1990-12-17,0.30272859999999996,52.45,298.297142857,298.37857142900003,294.55857142900004,296.0,32.31,80.0828571429,52.45,15.954285714300001,25.714285714299997,30.6,21.1,19.8,26
34,sj,1990,52,1990-12-24,0.16162220000000002,0.0,298.038571429,298.085714286,292.10571428599997,295.3,5.46,69.6814285714,0.0,13.6828571429,25.157142857100002,28.9,21.1,20.9,27
35,sj,1991,1,1991-01-01,0.16731429999999997,0.0,297.06,297.135714286,291.907142857,293.9,4.8,72.9385714286,0.0,13.511428571400002,24.3857142857,29.4,18.9,5.3,21
36,sj,1991,2,1991-01-08,0.1376167,15.85,297.674285714,297.828571429,293.282857143,295.8,26.33,76.6285714286,15.85,14.671428571400002,24.9142857143,28.3,21.1,31.7,21
37,sj,1991,3,1991-01-15,0.2179,0.0,297.422857143,297.657142857,293.412857143,296.1,27.4,78.5,0.0,14.798571428599999,25.2428571429,29.4,21.1,16.5,26
38,sj,1991,4,1991-01-22,0.20275710000000002,0.0,297.88428571400004,298.15,292.38285714299997,296.0,0.7,71.5971428571,0.0,13.878571428599999,24.714285714299997,29.4,18.3,6.8,34
39,sj,1991,5,1991-01-29,0.1956,0.0,298.044285714,298.228571429,292.57285714299996,295.0,5.7,71.7842857143,0.0,14.0442857143,24.8285714286,30.0,18.9,5.9,37
40,sj,1991,6,1991-02-05,0.2258,0.0,297.74,297.928571429,293.15,295.0,19.69,75.7942857143,0.0,14.541428571400001,25.0571428571,30.0,20.6,7.3,17
41,sj,1991,7,1991-02-12,0.2673429,18.05,296.88428571400004,297.114285714,292.972857143,294.1,21.4,78.8957142857,18.05,14.46,25.1428571429,32.2,18.9,5.6,19
42,sj,1991,8,1991-02-19,0.1194,0.0,297.414285714,297.614285714,293.63142857099996,295.8,26.2,79.74,0.0,15.0357142857,25.842857142899998,32.2,20.0,17.8,25
43,sj,1991,9,1991-02-26,0.19143329999999997,31.79,297.505714286,297.828571429,293.407142857,295.8,23.8,77.9771428571,31.79,14.7942857143,25.2571428571,30.6,20.0,30.7,18
44,sj,1991,10,1991-03-05,0.2163571,0.0,297.777142857,298.078571429,293.531428571,296.4,8.3,77.3157142857,0.0,14.92,26.014285714299998,31.1,20.6,10.9,21
45,sj,1991,11,1991-03-12,0.2405429,0.0,297.43142857099997,297.635714286,293.335714286,295.7,13.37,78.1385714286,0.0,14.787142857100001,25.9285714286,31.7,20.6,3.6,17
46,sj,1991,12,1991-03-19,0.1593,0.0,297.407142857,297.614285714,293.254285714,295.4,11.1,77.8828571429,0.0,14.7457142857,26.0857142857,32.2,21.1,5.7,17
47,sj,1991,13,1991-03-26,0.2473857,0.0,297.47,297.69285714299997,293.74,295.7,21.26,80.0014285714,0.0,15.148571428599999,26.0571428571,32.2,22.2,26.9,16
48,sj,1991,14,1991-04-02,0.22197139999999999,12.92,297.064285714,297.185714286,292.48,295.4,20.9,75.6628571429,12.92,13.9914285714,25.2428571429,28.9,20.6,4.1,16
49,sj,1991,15,1991-04-09,0.17736670000000002,6.0,297.372857143,297.657142857,293.61571428599996,295.9,19.78,79.6285714286,6.0,14.9928571429,25.3,28.9,21.1,18.8,15
50,sj,1991,16,1991-04-16,0.20616669999999998,44.57,297.284285714,297.392857143,292.17,296.0,21.9,73.3514285714,44.57,13.7328571429,25.514285714299998,29.4,21.1,19.4,23
51,sj,1991,17,1991-04-23,0.2249429,32.72,298.07428571400004,298.23571428599996,294.028571429,296.7,19.7,78.4471428571,32.72,15.4614285714,26.528571428600003,32.8,21.7,3.5,16
52,sj,1991,18,1991-04-30,0.1761714,0.0,298.831428571,299.071428571,294.97,297.1,8.38,79.36,0.0,16.314285714300002,27.3142857143,32.2,22.8,2.8,17
53,sj,1991,19,1991-05-07,0.1111857,35.38,298.638571429,298.721428571,294.812857143,297.2,20.6,79.5414285714,35.38,16.185714285699998,26.9285714286,31.7,22.8,40.2,12
54,sj,1991,20,1991-05-14,0.0964,4.16,298.325714286,298.407142857,294.61857142900004,296.6,35.37,80.0671428571,4.16,15.9742857143,26.528571428600003,30.6,22.8,32.8,17
55,sj,1991,21,1991-05-21,0.1356,51.16,298.58428571400003,298.457142857,295.124285714,297.0,59.3,81.30142857140001,51.16,16.5014285714,27.3857142857,31.7,22.8,3.6,10
56,sj,1991,22,1991-05-28,0.2571,55.37,298.80857142900004,298.885714286,295.27428571400003,297.3,43.4,81.08857142859999,55.37,16.6457142857,27.9428571429,33.3,23.3,5.6,15
57,sj,1991,23,1991-06-04,0.1659286,8.08,299.518571429,299.75,294.92571428599996,297.4,5.0,76.0742857143,8.08,16.3242857143,28.0714285714,33.3,23.3,20.6,19
58,sj,1991,24,1991-06-11,0.1739714,6.09,299.891428571,300.071428571,295.492857143,298.4,5.82,77.0357142857,6.09,16.8828571429,28.228571428600002,33.9,23.9,9.4,21
59,sj,1991,25,1991-06-18,0.13064289999999998,44.25,299.775714286,299.971428571,296.3,298.4,17.0,81.4214285714,44.25,17.7042857143,28.9285714286,33.9,25.0,3.3,14
60,sj,1991,26,1991-06-25,0.1582429,73.76,299.41,299.478571429,296.228571429,297.7,37.8,82.7457142857,73.76,17.628571428599997,27.9142857143,32.8,22.8,12.4,18
61,sj,1991,27,1991-07-02,0.1981571,26.7,299.37142857099997,299.385714286,295.945714286,297.4,51.99,81.69428571430001,26.7,17.3528571429,28.3714285714,32.8,23.9,24.7,13
62,sj,1991,28,1991-07-09,0.1679167,6.13,300.00142857099996,300.171428571,295.791428571,297.9,18.7,77.8771428571,6.13,17.1514285714,28.4142857143,32.8,24.4,4.6,14
63,sj,1991,29,1991-07-16,0.11664289999999998,29.67,300.234285714,300.342857143,296.081428571,298.6,23.6,78.24142857140001,29.67,17.4728571429,28.8,33.9,23.9,12.2,18
64,sj,1991,30,1991-07-23,0.12906669999999998,56.58,299.80857142900004,299.978571429,296.332857143,298.2,27.4,81.4828571429,56.58,17.7342857143,28.0,32.8,24.4,43.1,23
65,sj,1991,31,1991-07-30,0.15932860000000001,48.41,299.852857143,299.964285714,296.478571429,298.3,34.39,81.8971428571,48.41,17.878571428599997,28.5714285714,33.3,25.0,18.0,25
66,sj,1991,32,1991-08-06,0.2093571,13.29,299.831428571,299.864285714,296.468571429,298.1,31.5,81.96,13.29,17.8957142857,28.5,32.8,24.4,12.5,62
67,sj,1991,33,1991-08-13,0.1567,0.0,300.42,300.65,296.484285714,298.7,20.4,79.1971428571,0.0,17.911428571400002,29.4285714286,33.3,25.6,3.3,60
68,sj,1991,34,1991-08-20,0.1437286,51.88,300.31142857099996,300.385714286,296.581428571,298.3,25.47,80.2557142857,51.88,18.0114285714,29.271428571399998,34.4,24.4,1.5,76
69,sj,1991,35,1991-08-27,0.1864,55.2,300.11714285700003,300.2,296.67,298.6,23.8,81.5942857143,55.2,18.0914285714,28.157142857100002,32.2,23.9,10.7,66
70,sj,1991,36,1991-09-03,0.16241429999999998,65.9,300.10571428599997,300.15,296.798571429,298.4,42.33,82.31,65.9,18.2628571429,28.9428571429,34.4,24.4,27.2,64
71,sj,1991,37,1991-09-10,0.1446429,33.56,300.54,300.635714286,296.451428571,298.7,11.4,78.6271428571,33.56,17.8957142857,28.971428571399997,33.9,23.3,61.0,68
