,city,year,weekofyear,week_start_date,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,station_avg_temp_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
936,iq,2000,26,2000-07-01,0.2472,25.41,296.74,298.45,295.184285714,293.1,43.19,92.4185714286,25.41,16.6514285714,26.4,32.5,20.7,3.0,0
937,iq,2000,27,2000-07-08,0.24165709999999999,60.61,296.63428571400004,298.428571429,295.358571429,291.1,46.0,93.5814285714,60.61,16.8628571429,26.9,34.0,20.8,55.6,0
938,iq,2000,28,2000-07-15,0.1280143,55.52,296.41571428599997,297.392857143,295.622857143,292.6,64.77,95.84857142860001,55.52,17.12,26.8,33.0,20.7,38.1,0
939,iq,2000,29,2000-07-22,0.20031429999999997,5.6,295.357142857,296.228571429,292.797142857,288.6,23.96,87.2342857143,5.6,14.431428571400001,25.7666666667,31.5,14.7,30.0,0
940,iq,2000,30,2000-07-29,0.3610429,62.76,296.432857143,297.635714286,293.957142857,291.5,31.8,88.1614285714,62.76,15.444285714300001,26.6,33.3,19.1,4.0,0
941,iq,2000,31,2000-08-05,0.2553143,16.24,297.19142857099996,298.285714286,291.72571428599997,288.5,1.0,74.72857142859999,16.24,13.421428571400002,25.34,32.0,17.0,11.5,0
942,iq,2000,32,2000-08-12,0.38727140000000004,89.37,297.32,298.978571429,293.821428571,292.1,26.68,83.27571428569999,89.37,15.3114285714,27.0166666667,34.0,19.9,72.9,0
943,iq,2000,33,2000-08-19,0.38275,42.08,297.627142857,299.335714286,293.992857143,290.6,16.9,82.49,42.08,15.465714285699999,26.5833333333,33.0,20.5,50.1,0
944,iq,2000,34,2000-08-26,0.3027143,49.22,298.238571429,299.571428571,292.904285714,291.3,5.59,74.74,49.22,14.444285714300001,26.9,34.0,19.0,89.2,0
945,iq,2000,35,2000-09-02,0.32425709999999996,53.65,299.218571429,300.928571429,293.472857143,292.9,16.07,74.1514285714,53.65,15.0571428571,27.116666666700002,34.0,20.0,78.0,0
946,iq,2000,36,2000-09-09,0.26592859999999996,23.12,300.802857143,301.935714286,290.635714286,291.5,2.5,57.7871428571,23.12,12.6528571429,28.366666666700002,35.8,21.7,56.9,1
947,iq,2000,37,2000-09-16,0.3281571,34.62,299.858571429,301.37142857099997,293.64,292.3,4.1,71.66,34.62,15.2271428571,27.425,34.5,20.5,18.9,0
948,iq,2000,38,2000-09-23,0.2425714,97.55,297.435714286,298.51428571400004,292.707142857,288.3,3.2,77.4871428571,97.55,14.338571428599998,27.5333333333,36.0,20.5,104.2,0
949,iq,2000,39,2000-09-30,0.18278570000000002,95.89,299.35571428599997,300.885714286,293.217142857,290.0,2.6,71.4628571429,95.89,14.798571428599999,27.15,34.0,20.5,57.9,0
950,iq,2000,40,2000-10-07,0.25505,46.22,298.372857143,300.5,294.664285714,292.7,16.6,82.3714285714,46.22,16.1485714286,26.7,34.0,20.0,63.0,0
951,iq,2000,41,2000-10-14,0.1009167,31.1,298.474285714,300.285714286,294.592857143,291.9,21.9,81.5228571429,31.1,16.071428571400002,27.657142857100002,34.0,21.0,3.0,1
952,iq,2000,42,2000-10-21,0.27947140000000004,25.21,299.211428571,301.15,294.007142857,292.3,9.9,75.54,25.21,15.5285714286,27.775,36.0,21.0,45.2,1
953,iq,2000,43,2000-10-28,0.3258,49.25,299.541428571,301.1,294.708571429,291.9,23.3,76.94142857140001,49.25,16.1957142857,28.0,34.6,20.0,57.9,0
954,iq,2000,44,2000-11-04,0.2796167,67.64,299.44,300.821428571,295.27428571400003,292.4,20.2,79.4285714286,67.64,16.8685714286,27.6,35.5,21.1,7.1,0
955,iq,2000,45,2000-11-11,0.23186669999999998,51.83,300.74857142900004,301.80714285700003,295.28,294.3,19.2,74.8028571429,51.83,16.8471428571,28.175,35.2,21.5,13.5,0
956,iq,2000,46,2000-11-18,0.06418333,39.25,301.637142857,302.614285714,294.232857143,294.2,3.6,67.1857142857,39.25,15.88,29.025,36.4,21.7,0.0,0
957,iq,2000,47,2000-11-25,0.1709167,55.91,300.872857143,301.914285714,293.06,293.6,11.2,66.0428571429,55.91,14.7685714286,27.7,36.5,21.5,0.0,0
958,iq,2000,48,2000-12-02,0.3191,20.65,299.23,301.26428571400004,294.717142857,293.5,14.5,78.88571428569999,20.65,16.244285714300002,27.05,34.2,21.0,19.0,0
959,iq,2000,49,2000-12-09,0.18625,24.53,300.242857143,301.028571429,293.305714286,292.0,1.7,68.5571428571,24.53,14.9,28.0,34.0,22.0,0.8,0
960,iq,2000,50,2000-12-16,0.2977,111.06,298.757142857,300.342857143,294.52,291.9,48.76,80.4085714286,111.06,16.0985714286,26.616666666700002,33.8,21.0,67.2,1
961,iq,2000,51,2000-12-23,0.3022429,3.9,300.411428571,302.0,291.092857143,294.6,5.7,60.641428571400006,3.9,13.1885714286,28.2,35.0,21.0,0.0,0
962,iq,2001,1,2001-01-01,0.287,59.11,297.958571429,298.98571428599996,296.99,293.2,64.6,94.9557142857,59.11,18.6728571429,27.3333333333,33.3,21.8,38.9,0
963,iq,2001,2,2001-01-08,0.27399999999999997,69.85,298.044285714,299.414285714,294.345714286,292.5,22.98,82.3471428571,69.85,15.8585714286,27.0,33.2,20.7,59.9,0
964,iq,2001,3,2001-01-15,0.1767286,149.71,298.36857142900004,300.23571428599996,295.06142857099996,294.0,24.92,84.1757142857,149.71,16.6,27.05,33.0,20.5,52.0,0
965,iq,2001,4,2001-01-22,0.2314429,50.02,295.722857143,296.671428571,294.594285714,292.3,88.03,94.05714285709999,50.02,16.071428571400002,25.7166666667,31.2,20.0,166.9,0
966,iq,2001,5,2001-01-29,0.36907140000000005,87.18,295.297142857,296.1,294.411428571,292.2,80.95,95.40714285709998,87.18,15.86,26.4333333333,33.0,20.0,147.8,0
967,iq,2001,6,2001-02-05,0.2267,31.93,295.511428571,296.12857142900003,293.408571429,292.5,16.4,89.08,31.93,14.947142857100001,27.35,34.2,21.7,3.3,0
968,iq,2001,7,2001-02-12,0.1571,66.84,295.37,296.492857143,294.43857142900004,292.3,37.96,94.8842857143,66.84,15.93,26.3,33.0,21.0,83.1,0
969,iq,2001,8,2001-02-19,0.18404289999999998,16.17,296.07,296.978571429,294.73,290.6,34.18,92.84285714290002,16.17,16.2514285714,26.9333333333,33.2,21.0,38.1,0
970,iq,2001,9,2001-02-26,0.2912833,47.14,297.038571429,298.30714285700003,295.767142857,293.7,26.96,93.3142857143,47.14,17.3085714286,26.56,33.2,20.5,21.1,0
971,iq,2001,10,2001-03-05,0.2063286,118.07,297.61857142900004,298.69285714299997,296.46,294.8,83.89,94.09285714290002,118.07,18.0557142857,27.2,33.3,20.0,87.1,0
972,iq,2001,11,2001-03-12,0.2041286,74.34,296.79,298.12857142900003,295.544285714,292.8,195.2,94.0942857143,74.34,17.0657142857,27.05,34.2,20.0,39.9,0
973,iq,2001,12,2001-03-19,0.28414290000000003,90.35,298.701428571,299.75,295.157142857,293.2,32.6,82.80142857140001,90.35,16.7571428571,27.4333333333,34.1,20.0,70.8,0
974,iq,2001,13,2001-03-26,0.13225710000000002,94.06,296.852857143,297.6,296.078571429,292.8,304.52,95.9242857143,94.06,17.6685714286,27.05,34.2,20.0,80.0,0
975,iq,2001,14,2001-04-02,0.2584,86.46,296.305714286,297.828571429,295.695714286,292.9,91.43,96.7371428571,86.46,17.21,27.16,35.0,20.5,46.2,0
976,iq,2001,15,2001-04-09,0.37627140000000003,80.82,297.17571428599996,298.3,296.13,292.1,110.1,94.6028571429,80.82,17.6957142857,26.46,34.0,19.5,120.1,0
977,iq,2001,16,2001-04-16,0.4074857,77.73,297.062857143,298.15,295.98571428599996,292.8,120.32,94.6157142857,77.73,17.52,27.34,33.5,20.4,45.3,1
978,iq,2001,17,2001-04-23,0.2288,78.01,297.961428571,299.207142857,295.428571429,293.2,78.3,88.14857142860001,78.01,16.9685714286,27.633333333299998,34.3,21.0,14.9,0
979,iq,2001,18,2001-04-30,0.2625571,94.77,297.285714286,298.65,295.74,293.1,103.87,92.19285714290001,94.77,17.3057142857,27.625,35.2,20.5,51.0,0
980,iq,2001,19,2001-05-07,0.22732860000000002,45.56,297.135714286,298.2,296.332857143,292.1,85.9,95.82,45.56,17.891428571400002,26.6,32.7,21.4,66.0,0
981,iq,2001,20,2001-05-14,0.30348569999999997,74.08,297.297142857,298.30714285700003,296.99,294.7,80.3,98.34142857139999,74.08,18.64,26.6,32.5,21.4,0.0,0
982,iq,2001,21,2001-05-21,0.26852859999999995,70.81,296.922857143,297.957142857,295.827142857,293.0,53.1,94.71,70.81,17.3685714286,27.4333333333,34.2,20.5,64.1,1
983,iq,2001,22,2001-05-28,0.38744290000000003,90.07,296.845714286,298.0,295.18,291.8,20.3,91.4657142857,90.07,16.6942857143,27.25,34.8,20.5,32.0,1
984,iq,2001,23,2001-06-04,0.2467286,126.46,296.69142857099996,297.892857143,294.46,291.5,30.63,89.4871428571,126.46,15.968571428599999,26.866666666700002,34.0,19.8,17.0,0
985,iq,2001,24,2001-06-11,0.2173429,47.13,295.482857143,296.435714286,294.341428571,291.9,95.06,94.0171428571,47.13,15.7828571429,26.88,33.4,20.0,37.1,0
